0,23,12,4,13,2,5,33,5,20,14,21,40,39,10,30,14,16,33,40,12,32,22,4,14,19,37,20,2,37,29,5,11,32,8,23,33,12,15,30,23,20,2,14,11,11,3,24,27,27,23,38,19,5,33,32,15,21,3,17,17,31,21,19,22,20,1,7,23,8,36,5,27,37,10,37,7,13,12,25,31,35,14,9,31,7,32,5,19,34,21,28,16,33,6,30,4,39,36,26,6,31,22,24,19,24,21,17,36,24,2,26,18,7,27,40,5,18,5,24,4,17,3,11,2,8,40,5,6,27,23,3,9,36,27,27,19,39,4,6,22,37,24,32,3,10,31,8,19,27,23,14,4,25,25,37,24,16,1,22,3,23,24,11,19,2,30,29,40,25,35,14,21,18,37,15,19,19,14,37,6,36,11,1,12,27,37,36,2,29,17,4,4,32,7,22,34,36,2,25
23,0,20,36,30,32,13,26,6,23,5,20,20,2,7,22,34,19,8,22,6,1,2,22,37,5,13,3,18,38,38,20,23,9,7,12,40,12,30,37,34,26,8,13,27,15,26,12,25,25,25,30,26,26,3,22,23,7,16,40,5,5,19,19,13,26,30,4,37,19,32,22,4,40,35,22,14,12,25,30,37,1,19,14,19,13,27,1,19,34,32,15,38,11,33,2,28,15,5,16,33,36,37,29,35,23,2,40,27,27,21,15,27,31,28,37,3,6,37,14,39,29,28,36,31,13,37,10,27,33,17,11,20,5,39,7,20,1,6,6,19,19,20,37,9,39,34,12,36,30,25,26,10,4,13,32,8,1,1,34,33,9,5,4,14,35,10,33,27,8,30,5,26,1,2,34,31,35,5,26,16,21,11,18,17,15,9,24,15,10,10,39,18,6,2,23,40,12,15,27
12,20,0,19,36,23,36,36,24,29,26,10,26,11,18,38,13,35,14,27,3,30,1,12,39,31,22,4,33,4,35,4,11,13,14,6,28,9,34,3,29,19,13,14,22,22,12,26,16,17,5,18,6,37,22,36,28,35,31,20,38,26,15,40,30,28,6,17,28,39,20,16,9,24,30,22,5,33,8,12,9,12,29,15,8,2,10,35,36,33,6,26,10,20,25,39,39,22,8,26,12,19,34,21,2,23,2,38,7,1,9,15,12,29,21,12,31,23,38,18,15,4,3,24,23,20,22,22,1,21,39,5,39,32,17,32,6,10,29,12,11,29,27,14,18,7,25,40,29,23,17,3,26,12,18,40,23,32,21,15,12,12,19,11,3,27,2,9,37,23,20,7,11,38,20,28,37,37,27,17,11,36,12,36,39,29,27,13,20,40,27,32,11,38,2,5,24,35,13,20
4,36,19,0,17,25,18,28,14,30,15,10,26,34,27,36,21,38,23,11,26,9,23,6,40,1,29,10,38,22,15,14,16,19,33,25,35,3,12,9,32,18,18,9,3,36,4,23,25,18,25,11,18,7,8,18,8,28,19,37,9,25,10,16,4,35,40,38,37,11,38,20,21,16,28,23,3,23,38,28,32,22,30,9,29,29,18,28,16,37,24,24,13,26,39,16,12,31,6,8,1,3,19,21,10,38,36,5,20,33,32,11,14,13,11,34,1,29,21,8,17,37,23,21,14,13,29,25,3,34,24,4,28,2,16,30,39,11,34,10,3,17,20,9,29,22,2,21,2,15,28,18,11,10,39,16,22,27,40,17,12,23,20,31,16,27,20,6,38,5,15,32,13,26,40,33,7,34,13,9,8,32,18,10,33,8,25,15,26,24,23,29,38,2,20,13,20,31,18,9
13,30,36,17,0,28,24,1,40,9,32,33,15,25,37,15,24,29,25,33,21,32,17,27,10,32,9,38,29,2,9,33,22,40,2,30,27,25,22,18,33,6,10,40,22,7,6,6,35,30,30,7,14,39,34,23,22,2,12,3,4,21,35,17,20,37,38,38,21,20,15,6,17,17,5,38,15,2,35,1,32,25,7,5,15,40,19,36,34,30,38,29,10,33,5,21,21,2,10,33,13,17,38,29,33,34,19,39,36,13,39,19,37,5,15,3,37,33,39,22,14,36,10,24,20,6,36,40,39,6,33,12,14,22,32,6,8,10,36,3,23,34,13,11,30,27,14,26,11,12,7,24,39,8,39,19,13,35,18,12,32,2,15,5,24,6,2,31,16,37,25,30,22,37,32,11,15,37,29,25,40,35,40,39,3,39,17,7,25,26,18,16,28,32,12,3,38,5,25,5
2,32,23,25,28,0,33,9,26,14,37,17,24,3,6,12,27,5,39,26,3,33,16,11,39,40,37,17,15,16,40,18,18,37,22,2,33,14,2,10,27,38,19,3,40,24,6,18,28,36,35,23,28,11,33,27,10,29,35,17,4,34,34,13,23,8,14,7,13,15,17,32,4,35,34,3,18,31,12,37,27,7,19,6,17,12,24,18,32,18,34,28,4,20,40,18,19,14,24,31,20,32,22,24,18,7,18,27,38,30,24,16,28,2,13,4,5,37,13,29,6,7,16,1,18,15,18,36,20,34,18,40,17,40,15,35,6,32,21,35,13,4,2,40,38,15,35,34,11,8,22,8,6,37,9,23,4,26,10,23,11,27,14,28,26,20,22,24,12,2,10,16,38,12,16,27,18,2,20,20,9,2,27,6,38,35,28,33,21,29,16,23,16,21,10,33,1,31,8,4
5,13,36,18,24,33,0,25,10,11,14,13,26,40,30,20,19,9,28,20,35,34,10,22,13,2,2,34,9,24,1,22,26,25,22,16,33,17,32,34,27,5,6,5,4,35,24,23,35,3,34,21,28,3,2,33,37,35,26,5,11,18,26,36,2,39,3,34,7,35,27,26,31,24,30,35,10,5,9,4,39,2,17,19,37,18,3,33,13,20,29,15,37,7,10,38,5,4,24,4,38,2,29,21,26,10,7,35,6,15,31,36,8,7,14,36,16,8,20,20,27,9,34,23,7,35,13,3,39,36,6,28,37,34,8,14,35,14,9,40,20,31,36,28,37,1,15,4,9,35,24,27,35,9,10,1,4,14,3,2,9,1,21,37,26,29,11,21,2,11,12,14,1,7,1,29,40,7,32,40,1,7,26,35,16,27,27,19,40,22,12,40,22,32,37,7,12,7,19,6
33,26,36,28,1,9,25,0,17,31,19,9,29,11,37,20,17,28,19,18,27,5,4,2,23,23,20,23,4,23,22,17,14,10,23,26,16,34,31,24,24,1,32,4,11,20,24,27,40,2,4,26,38,40,27,21,22,38,35,25,20,8,1,25,18,15,2,25,40,24,1,23,24,24,19,34,4,2,13,3,35,16,28,33,7,6,5,28,3,39,4,14,38,36,38,7,3,32,24,2,15,24,17,31,7,35,16,2,36,28,4,30,36,23,14,2,28,18,22,30,8,17,35,38,5,33,4,39,16,19,40,22,2,8,12,1,2,20,34,29,7,30,11,34,12,24,28,32,34,9,13,33,17,8,30,21,32,26,19,7,4,11,28,38,18,32,30,12,11,23,40,9,12,10,3,16,26,30,39,19,30,11,11,38,18,33,19,1,18,29,7,13,31,27,10,9,10,31,12,12
5,6,24,14,40,26,10,17,0,14,11,20,17,13,14,24,38,35,22,8,16,33,10,14,2,2,24,3,19,12,1,32,35,19,33,35,28,24,6,39,29,8,11,37,20,16,21,9,3,34,16,18,26,26,31,20,27,14,14,38,18,14,21,12,33,13,38,20,28,3,11,16,10,13,13,30,28,25,38,30,18,6,8,36,31,30,15,9,36,28,6,13,33,18,16,25,23,13,37,10,7,7,18,16,11,22,37,38,6,27,20,15,24,19,10,14,8,16,14,3,3,20,7,36,37,14,12,19,18,8,21,24,6,38,32,16,11,20,6,16,38,25,22,21,35,32,26,2,7,40,37,2,11,35,29,39,1,40,10,18,40,30,2,37,19,25,5,29,36,10,36,34,26,17,6,20,8,24,13,7,23,1,40,25,28,28,23,28,19,32,5,10,13,38,7,31,14,11,19,10
20,23,29,30,9,14,11,31,14,0,12,14,3,37,23,40,8,22,23,12,28,37,5,27,21,32,6,36,19,17,27,15,26,40,13,32,22,26,2,33,27,5,38,29,1,20,21,40,2,3,12,21,40,16,8,12,39,5,7,17,21,26,23,7,17,27,30,38,5,24,30,31,28,28,12,21,39,32,20,40,34,23,21,25,30,20,37,28,24,35,36,37,20,19,35,28,37,24,26,1,7,7,32,35,26,35,15,25,26,26,24,11,9,36,36,30,15,24,18,31,10,5,19,30,15,13,17,12,36,34,4,3,33,27,37,18,21,3,34,38,28,10,9,28,5,36,10,12,11,19,34,20,23,12,1,30,24,10,33,19,35,36,13,27,23,1,37,35,3,30,33,23,39,1,2,36,28,11,7,38,29,40,9,12,11,10,33,26,11,25,36,5,20,9,24,34,1,20,21,4
